Column1,Age,SkinType,SkinTone,SkinConcerns,Gender,Race,Climate,Extracts,All_Age_Suitable_Ing,Anti-Acne Moisturizer,Antioxidant+Anti-Aging Moisturizer,F_Skin_ID+Soothing,M_Antioxidant+Occlusive,EA_Anti_Age+Skin_ID+Cell_Commute,IA_Antioxidant,YA_Occusive,BR_Anti_Acne,WR_Skin_ID+Occusive,DRY_Dry,TROPICAL_Antioxidant+Humectant,TEMPERATE_Humectant,CONTINENAL_Emolient,POLAR_Humectants+Occlusive+Emollients
122,25-120,Dry,Fair,Dullness,Male,White,Temperate,Sodium PCA,"Triticum Vulgare Germ Oil , Grape seed Oil , Rose Hip Oil",,,,"Glabridin , Coumarin , Equol , Histidine , Resveratrol , Triethylhexanoin",,,,,"ceramide , pca , ceramide eop",,,"Thiotaurine , Isopentyldiol  , Trimethylsiloxysilicate",,
123,25-120,Dry,Fair,Dullness,Male,White,Continental,Sodium PCA,"Triticum Vulgare Germ Oil , Camellia Sinensis Seed Oil , Raspberry Seed Oil",,,,"Cannabidiol , Honey , Agar , Galactoarabinan , Genistein , Curcumin",,,,,"ceramide np , phospholipids , squalane",,,,"Niacinamide , Sucrose , Glycogen",
124,25-120,Dry,Fair,Dullness,Male,White,Polar,Sodium PCA,"Camellia Sinensis Seed Oil , Grape seed Oil , Raspberry Seed Oil",,,,"Ergothioneine , Thiotaurine , Trihydroxystearin , Hesperidin , Tocopherol , Squalene",,,,,"pca , threonine , ceramide np",,,,,"PEG-32 , Thiotaurine , Betaine"
125,25-120,Dry,Fair,Dullness,Male,Black,Tropical,Sodium PCA,"Camellia Sinensis Seed Oil , Triticum Vulgare Germ Oil , Rose Hip Oil",,,,"Squalane , Phloretin , Quercetin , Algin , Genistein , Serine",,,,"Triticum Vulgare Germ Oil , Rose Hip Oil , Alpha-Glucan",,,"Honey , Phenylalanine , Hydroxyacetophenone",,,
126,25-120,Dry,Fair,Dullness,Male,Black,Dry,Sodium PCA,"Raspberry Seed Oil , Camellia Sinensis Seed Oil , Grape seed Oil",,,,"Petrolatum , Arbutin , Alanine , Caffeine , Curcumin , Bakuchiol",,,,"Rose Hip Oil , Grape seed Oil , Ceramide",,"Honey Extract , Aphanizomenon Flos-Aquae Extract , Ceramide NG",,,,
127,25-120,Dry,Fair,Dullness,Male,Black,Temperate,Sodium PCA,"Triticum Vulgare Germ Oil , Raspberry Seed Oil , Camellia Sinensis Seed Oil",,,,"Bisabolol , Kaolin , Petrolatum , Retinol , Ergothioneine , Azulene",,,,"Grape seed Oil , Algae Extract , Alpha-Glucan",,,,"Betaine , Proline , Glucomannan",,
128,25-120,Dry,Fair,Dullness,Male,Black,Continental,Sodium PCA,"Camellia Sinensis Seed Oil , Triticum Vulgare Germ Oil , Rose Hip Oil",,,,"Azulene , Lycopene , Tetrahydrodiferuloylmethane , Zinc , Arginine , Genistein",,,,"Honey , Hyaluronic Acid , Algae Extract",,,,,"Trimethylsiloxysilicate , Niacinamide , Pantethine",
129,25-120,Dry,Fair,Dullness,Male,Black,Polar,Sodium PCA,"Raspberry Seed Oil , Grape seed Oil , Triticum Vulgare Germ Oil",,,,"Arginine , Retinol , Glabridin , Curcumin , Honey , Ergothioneine",,,,"Grape seed Oil , Ananas Sativus Fruit Extract , Honey",,,,,,"Thiotaurine , Trilaurin , Phenylalanine"
130,25-120,Dry,Fair,Dullness,Female,White,Tropical,Sodium PCA,"Raspberry Seed Oil , Triticum Vulgare Germ Oil , Grape seed Oil",,,"tetrasodium tetracarboxymethyl naringeninchalcone , cucumis sativus fruit extract , beta-glucan , avena sativa kernel extract , melissa officinalis flower/leaf/stem extract , curculigo orchioides root extract",,,,,,"lacto-ceramides , phospholipids , sodium hyaluronate crosspolymer",,"Niacinamide , Phenylalanine , Honey",,,
131,25-120,Dry,Fair,Dullness,Female,White,Dry,Sodium PCA,"Triticum Vulgare Germ Oil , Raspberry Seed Oil , Rose Hip Oil",,,"coptis japonica root extract , chamomilla recutita flower oil , orchis morio flower extract , echinacea angustifolia leaf extract , avena sativa kernel extract , methyl nicotinate",,,,,,"Tribehenin , Trimethylsiloxysilicate , Bentonite","Aphanizomenon Flos-Aquae Extract , Honey , Centella Asiatica Extract",,,,
132,25-120,Dry,Fair,Dullness,Female,White,Temperate,Sodium PCA,"Raspberry Seed Oil , Grape seed Oil , Camellia Sinensis Seed Oil",,,"acanthopanax senticosus root extract , vitis vinifera fruit extract , salvia officinalis extract , allantoin , viscum album leaf extract , prunus yedoensis leaf extract",,,,,,"phospholipids , ceramide , alanine",,,"Phospholipids , PEG-33 , PEG-75",,
133,25-120,Dry,Fair,Dullness,Female,White,Continental,Sodium PCA,"Camellia Sinensis Seed Oil , Grape seed Oil , Rose Hip Oil",,,"vitis vinifera fruit extract , carboxydecyl trisiloxane , aloe barbadensis leaf juice , aloe barbadensis leaf extract , azelaic acid , lactobacillus ferment",,,,,,"glycerin , cholesterol , acetyl glucosamine",,,,"Hydroxyacetophenone , Serine , PCA",
134,25-120,Dry,Fair,Dullness,Female,White,Polar,Sodium PCA,"Triticum Vulgare Germ Oil , Camellia Sinensis Seed Oil , Rose Hip Oil",,,"ananas sativus fruit extract , proline , allantoin , linoleic acid , tetrapeptide-14 , bioflavonoids",,,,,,"histidine , isoleucine , phenylalanine",,,,,"PCA , Honey , Tribehenin"
135,25-120,Dry,Fair,Dullness,Female,Black,Tropical,Sodium PCA,"Raspberry Seed Oil , Triticum Vulgare Germ Oil , Rose Hip Oil",,,"valine , allantoin calcium pantothenate , gallyl glucoside , salix alba bark extract , foeniculum vulgare oil , salix alba bark water",,,,,"Algae Extract , Squalane , Hydrolyzed Tremella Fuciformis Sporocarp Extract",,,"Honey , Hydroxyacetophenone , Threonine",,,
136,25-120,Dry,Fair,Dullness,Female,Black,Dry,Sodium PCA,"Raspberry Seed Oil , Rose Hip Oil , Camellia Sinensis Seed Oil",,,"4-t-butylcyclohexanol , hyaluronic acid , sophora japonica bud extract , rubia tinctorum root extract , caffeyl glucoside , menthol",,,,,"Camellia Sinensis Seed Oil , Squalane , Alpha-Glucan",,"Camellia Sinensis Seed Oil , Saccharide Isomerate , Rose Hip Oil",,,,
137,25-120,Dry,Fair,Dullness,Female,Black,Temperate,Sodium PCA,"Camellia Sinensis Seed Oil , Triticum Vulgare Germ Oil , Raspberry Seed Oil",,,"peat , scabiosa arvensis extract , arginine , stearyl glycyrrhetinate , epigallocatechin gallatyl glucoside , helianthus annuus seed oil unsaponifiables",,,,,"Ananas Sativus Fruit Extract , Grape seed Oil , Ceramide",,,,"Inositol , Honey , Ethylhexylglycerin",,
138,25-120,Dry,Fair,Dullness,Female,Black,Continental,Sodium PCA,"Camellia Sinensis Seed Oil , Rose Hip Oil , Grape seed Oil",,,"zinc picolinate , hamamelis virginiana  leaf extract , poria cocos extract , zinc gluconate , safflower oil/palm oil aminopropanediol esters , calendula officinalis extract",,,,,"Triticum Vulgare Germ Oil , Camellia Sinensis Seed Oil , Grape seed Oil",,,,,"Mannitol , Xylitylglucoside , Honey",
139,25-120,Dry,Fair,Dullness,Female,Black,Polar,Sodium PCA,"Triticum Vulgare Germ Oil , Rose Hip Oil , Raspberry Seed Oil",,,"scutellaria baicalensis root extract , vaccinium angustifolium fruit extract , disodium lauriminodipropionate tocopheryl phosphates , hamamelis virginiana  leaf extract , betula alba bark/leaf extract , plantago lanceolata leaf extract",,,,,"Tocopheryl Succinate Aminopropanediol Esters , Honey , Hyaluronic Acid",,,,,,"PCA , Trilaurin , Isopentyldiol "
140,25-120,Oily,Medium,Aging,Male,White,Tropical,Acetyl Hydroxyproline,"Raspberry Seed Oil , Camellia Sinensis Seed Oil , Rose Hip Oil",,"Raspberry Seed Oil , Grape seed Oil , Arbutin , Coumarin , Resveratrol , Centella Asiatica Extract",,"Lycopene , Bisabolol , Genistein , Triethylhexanoin , Agar , Petrolatum",,,,,"Octyldodecanol , phospholipids , acetyl glucosamine",,"Phospholipids , Phenylalanine , Honey",,,
141,25-120,Oily,Medium,Aging,Male,White,Dry,Acetyl Hydroxyproline,"Raspberry Seed Oil , Triticum Vulgare Germ Oil , Grape seed Oil",,"Hydrolyzed Glycosaminoglycans , Genistein , Agar , Hydrolyzed Tremella Fuciformis Sporocarp Extract , Tocopheryl Succinate Aminopropanediol Esters , Galactoarabinan",,"Bisabolol , Rutin , Zinc , Caffeine , Madecassoside , Algin",,,,,"proline , sodium hyaluronate crosspolymer , linolenic acid","Squalane , Honey Extract , Grape seed Oil",,,,
142,25-120,Oily,Medium,Aging,Male,White,Temperate,Acetyl Hydroxyproline,"Triticum Vulgare Germ Oil , Raspberry Seed Oil , Grape seed Oil",,"Phenylalanine , Bakuchiol , Hesperidin , Rutin , Genistein , Curcumin",,"Astaxanthin , Caffeine , Azulene , Trilaurin , Squalane , Curcumin",,,,,"sodium chondroitin sulfate , Trilaurin , Octyldodecanol",,,"Honey , Urea , PEG-14",,
143,25-120,Oily,Medium,Aging,Male,White,Continental,Acetyl Hydroxyproline,"Triticum Vulgare Germ Oil , Raspberry Seed Oil , Camellia Sinensis Seed Oil",,"Curcumin , Triticum Vulgare Germ Oil , Acetyl Tetrapeptide-5 , Xanthophyll , Aphanizomenon Flos-Aquae Extract , Acetyl Tetrapeptide-5",,"Lycopene , Trilaurin , Equol , Bentonite , Agar , Arginine",,,,,"serine , phospholipids , sodium chondroitin sulfate",,,,"Isopentyldiol  , Sucrose , Serine",
144,25-120,Oily,Medium,Aging,Male,White,Polar,Acetyl Hydroxyproline,"Camellia Sinensis Seed Oil , Raspberry Seed Oil , Rose Hip Oil",,"Xanthophyll , Phloretin , Niacinamide , Lycopene , Rose Hip Oil , Tocopherol",,"Zinc , Cannabidiol , Ergothioneine , Tetrahydrodemethoxydiferuloylmethane , Curcumin , Quercetin",,,,,"Trilaurin , hydroxypalmitoyl sphinganine , ceramide eop",,,,,"Triethylhexanoin , Valine , Glycosaminoglycans"
145,25-120,Oily,Medium,Aging,Male,Black,Tropical,Acetyl Hydroxyproline,"Raspberry Seed Oil , Camellia Sinensis Seed Oil , Grape seed Oil",,"Phloretin , Hesperidin , Madecassoside , Hydrolyzed Tremella Fuciformis Sporocarp Extract , Tocopheryl Succinate Aminopropanediol Esters , Xanthophyll",,"Kaolin , Alanine , Triethylhexanoin , Lycopene , Caffeine , Phloretin",,,,"Camellia Sinensis Seed Oil , Tocopheryl Succinate Aminopropanediol Esters , Aphanizomenon Flos-Aquae Extract",,,"Niacinamide , Thiotaurine , Threonine",,,
146,25-120,Oily,Medium,Aging,Male,Black,Dry,Acetyl Hydroxyproline,"Triticum Vulgare Germ Oil , Rose Hip Oil , Camellia Sinensis Seed Oil",,"Ubiquinone , Bisabolol , Hyaluronic Acid , Hesperidin , Arginine , Triticum Vulgare Germ Oil",,"Madecassoside , Triethylhexanoin , Hesperidin , Petrolatum , Squalane , Glabridin",,,,"Hyaluronic Acid , Camellia Sinensis Seed Oil , Aphanizomenon Flos-Aquae Extract",,"Sodium PCA , Acetyl Tetrapeptide-5 , Glucomannan",,,,
147,25-120,Oily,Medium,Aging,Male,Black,Temperate,Acetyl Hydroxyproline,"Camellia Sinensis Seed Oil , Triticum Vulgare Germ Oil , Raspberry Seed Oil",,"Triticum Vulgare Germ Oil , Coumarin , Lycopene , Squalene , Aphanizomenon Flos-Aquae Extract , Curcumin",,"Glabridin , Astaxanthin , Curcumin , Bentonite , Ergothioneine , Tetrahydrodiferuloylmethane",,,,"Rose Hip Oil , Hydrolyzed Tremella Fuciformis Sporocarp Extract , Camellia Sinensis Seed Oil",,,,"PEG-75 , Honey , Threonine",,
148,25-120,Oily,Medium,Aging,Male,Black,Continental,Acetyl Hydroxyproline,"Camellia Sinensis Seed Oil , Grape seed Oil , Raspberry Seed Oil",,"Curcumin , Centella Asiatica Extract , Arginine , Lycopene , Tetrahydrodiferuloylmethane , Phospholipids",,"Thiotaurine , Ubiquinone , Coumarin , Hydroxyacetophenone , Hesperidin , Resveratrol",,,,"Camellia Sinensis Seed Oil , Algae Extract , Hyaluronic Acid",,,,,"Cysteine , Triethylhexanoin , PEG-32",
149,25-120,Oily,Medium,Aging,Male,Black,Polar,Acetyl Hydroxyproline,"Camellia Sinensis Seed Oil , Triticum Vulgare Germ Oil , Grape seed Oil",,"Phospholipids , Madecassoside , Phloretin , Equol , Glabridin , Azulene",,"Caffeine , Galactoarabinan , Thiotaurine , Honey , Curcumin , Alanine",,,,"Camellia Sinensis Seed Oil , Acetyl Hydroxyproline , Algae Extract",,,,,,"Pantolactone , Pantethine , Hydroxyacetophenone"
150,25-120,Oily,Medium,Aging,Female,White,Tropical,Acetyl Hydroxyproline,"Triticum Vulgare Germ Oil , Grape seed Oil , Rose Hip Oil",,"Camellia Sinensis Seed Oil , Cannabidiol , Acetyl Hydroxyproline , Tocopherol , Grape seed Oil , Alpha-Glucan","plantago lanceolata leaf extract , ananas sativus fruit extract , diglycerin , centaurea cyanus flower water , boswellia serrata extract , reseda luteola extract",,,,,,"acetyl glucosamine , ceramide , Kaolin",,"Honey , Threonine , Phospholipids",,,
151,25-120,Oily,Medium,Aging,Female,White,Dry,Acetyl Hydroxyproline,"Triticum Vulgare Germ Oil , Rose Hip Oil , Grape seed Oil",,"Coumarin , Oryzanol , Ergothioneine , Madecassoside , Thiotaurine , Tetrahydrodemethoxydiferuloylmethane","zinc gluconate , schisandra sphenanthera fruit extract , viscum album extract , equisetum arvense leaf extract , quercetin , plantago lanceolata leaf extract",,,,,,"palmitic acid , cholesterol , proline","Aphanizomenon Flos-Aquae Extract , Panthenol , Algae Extract",,,,
152,25-120,Oily,Medium,Aging,Female,White,Temperate,Acetyl Hydroxyproline,"Triticum Vulgare Germ Oil , Rose Hip Oil , Camellia Sinensis Seed Oil",,"Tetrahydrodemethoxydiferuloylmethane , Cannabidiol , Histidine , Triticum Vulgare Germ Oil , Retinol , Lycopene","palmitic acid , phenylalanine , rosmarinyl glucoside , chamomilla recutita flower oil , rubus idaeus fruit extract , isoleucine",,,,,,"squalane , threonine , glycine",,,"Glycerin , Honey , Betaine",,
153,25-120,Oily,Medium,Aging,Female,White,Continental,Acetyl Hydroxyproline,"Camellia Sinensis Seed Oil , Grape seed Oil , Raspberry Seed Oil",,"Algin , Hesperidin , Centella Asiatica Extract , Caffeine , Squalane , Hydrolyzed Glycosaminoglycans","foeniculum vulgare fruit extract , equisetum arvense leaf extract , gallyl glucoside , hydroxyphenyl propamidobenzoic acid , ceramide , orchis mascula flower extract",,,,,,"Kaolin , ceramide np , phenylalanine",,,,"Triethylhexanoin , PEG-33 , Pantethine",
154,25-120,Oily,Medium,Aging,Female,White,Polar,Acetyl Hydroxyproline,"Camellia Sinensis Seed Oil , Grape seed Oil , Rose Hip Oil",,"Squalane , Rutin , Squalene , Rose Hip Oil , Genistein , Hyaluronic Acid","orchis mascula flower extract , laminaria saccharina extract , melaleuca alternifolia leaf oil , scutellaria baicalensis root extract , marrubium vulgare extract , hamamelis virginiana flower water",,,,,,"valine , collagen amino acids , Trimethylsiloxysilicate",,,,,"PEG-8 , Glucomannan , Anhydroxylitol"
155,25-120,Oily,Medium,Aging,Female,Black,Tropical,Acetyl Hydroxyproline,"Triticum Vulgare Germ Oil , Raspberry Seed Oil , Camellia Sinensis Seed Oil",,"Hyaluronic Acid , Xanthophyll , Oryzanol , Alpha-Glucan , Hydroxyacetophenone , Equol","centaurea cyanus flower water , avena sativa meal extract , avena sativa kernel flour , nigella sativa seed oil , rubia tinctorum root extract , tetrapeptide-14",,,,,"Hyaluronic Acid , Triticum Vulgare Germ Oil , Algae Extract",,,"Phospholipids , Phenylalanine , Threonine",,,
156,25-120,Oily,Medium,Aging,Female,Black,Dry,Acetyl Hydroxyproline,"Camellia Sinensis Seed Oil , Grape seed Oil , Raspberry Seed Oil",,"Genistein , Curcumin , Madecassoside , Centella Asiatica Extract , Beta-Glucan , Phloretin","hyaluronic acid , castanea sativa leaf extract , azulene , phellodendron amurense bark extract , allantoin glycyrrhetinic acid , chamomilla recutita flower extract",,,,,"Camellia Sinensis Seed Oil , Honey , Alpha-Glucan",,"Centella Asiatica Extract , Grape seed Oil , Sodium PCA",,,,
157,25-120,Oily,Medium,Aging,Female,Black,Temperate,Acetyl Hydroxyproline,"Camellia Sinensis Seed Oil , Raspberry Seed Oil , Grape seed Oil",,"Phloretin , Azulene , Algae Extract , Retinol , Tocopherol , Threonine","sodium chondroitin sulfate , glycyrrhiza glabra  root extract , mimosa tenuiflora bark extract , borago officinalis seed oil , palmitic acid , phellodendron amurense bark extract",,,,,"Grape seed Oil , Aphanizomenon Flos-Aquae Extract , Ceramide",,,,"Niacinamide , Trilaurin , PCA",,
158,25-120,Oily,Medium,Aging,Female,Black,Continental,Acetyl Hydroxyproline,"Triticum Vulgare Germ Oil , Camellia Sinensis Seed Oil , Rose Hip Oil",,"Serine , Tocopheryl Succinate Aminopropanediol Esters , Galactoarabinan , Alpha-Glucan , Azulene , Phospholipids","phellodendron amurense bark extract , spiraea ulmaria extract , persea gratissima fruit extract , scabiosa arvensis extract , persea gratissima oil unsaponifiables , jasminum officinale oil",,,,,"Triticum Vulgare Germ Oil , Camellia Sinensis Seed Oil , Ceramide",,,,,"Tribehenin , Urea , PEG-14",
159,25-120,Oily,Medium,Aging,Female,Black,Polar,Acetyl Hydroxyproline,"Raspberry Seed Oil , Grape seed Oil , Rose Hip Oil",,"Phospholipids , Bakuchiol , Algae Extract , Algae Extract , Quercetin , Zinc","biosaccharide gum-1 , chamomilla recutita flower oil , avena sativa kernel extract , azelaic acid , orchis morio flower extract , helianthus annuus seed oil unsaponifiables",,,,,"Acetyl Hydroxyproline , Hydrolyzed Tremella Fuciformis Sporocarp Extract , Aphanizomenon Flos-Aquae Extract",,,,,,"Trimethylsiloxysilicate , Trimethylsiloxysilicate , PEG-32"
160,35-44,Combination,Olive,Acne,Male,White,Tropical,Adansonia Digitata Pulp Extract,"Triticum Vulgare Germ Oil , Rose Hip Oil , Raspberry Seed Oil","Beta-Glucan , Centella Asiatica Extract , Soy Amino Acids",,,"Histidine , Tetrahydrodemethoxydiferuloylmethane , Arbutin , Phenylalanine , Serine , Zinc",,"Ananas Sativus Fruit Extract , Rose Hip Oil , Triticum Vulgare Germ Oil , Camellia Sinensis Seed Oil , Grape seed Oil , Ceramide",,,"Trilaurin , phospholipids , helianthus annuus seed oil unsaponifiables",,"Honey , Niacinamide , Threonine",,,
161,35-44,Combination,Olive,Acne,Male,White,Dry,Adansonia Digitata Pulp Extract,"Raspberry Seed Oil , Camellia Sinensis Seed Oil , Grape seed Oil","Jojoba Esters , Aloe Barbadensis Leaf Extract , Colloidal Oatmeal",,,"Squalane , Trilaurin , Serine , Phloretin , Tetrahydrodiferuloylmethane , Triethylhexanoin",,"Triticum Vulgare Germ Oil , Squalane , Grape seed Oil , Honey , Hyaluronic Acid , Hydrolyzed Tremella Fuciformis Sporocarp Extract",,,"hydroxypalmitoyl sphinganine , phospholipids , pca","Ceramide NG , Squalane , Squalane",,,,
162,35-44,Combination,Olive,Acne,Male,White,Temperate,Adansonia Digitata Pulp Extract,"Triticum Vulgare Germ Oil , Raspberry Seed Oil , Grape seed Oil","Aloe Barbadensis Leaf Extract , Hydrolyzed Collagen , Soy Amino Acids",,,"Triethylhexanoin , Thiotaurine , Squalene , Caffeine , Bentonite , Genistein",,"Honey , Alpha-Glucan , Camellia Sinensis Seed Oil , Ananas Sativus Fruit Extract , Hydrolyzed Tremella Fuciformis Sporocarp Extract , Squalane",,,"glycine , Nylon-12 , phytosphingosine",,,"Xylitylglucoside , Honey , Serine",,
163,35-44,Combination,Olive,Acne,Male,White,Continental,Adansonia Digitata Pulp Extract,"Triticum Vulgare Germ Oil , Rose Hip Oil , Raspberry Seed Oil","Jojoba Esters , Beta-Glucan , Aloe Barbadensis Leaf Extract",,,"Arginine , Triethylhexanoin , Kaolin , Bisabolol , Thiotaurine , Rutin",,"Honey , Squalane , Ceramide , Hydrolyzed Tremella Fuciformis Sporocarp Extract , Tocopheryl Succinate Aminopropanediol Esters , Rose Hip Oil",,,"sodium hyaluronate crosspolymer , isoleucine , pca",,,,"Isopentyldiol  , Glycosaminoglycans , Phospholipids",
164,35-44,Combination,Olive,Acne,Male,White,Polar,Adansonia Digitata Pulp Extract,"Raspberry Seed Oil , Grape seed Oil , Triticum Vulgare Germ Oil","Aloe Barbadensis Leaf Extract , Beta-Glucan , Jojoba Esters",,,"Agar , Tetrahydrodiferuloylmethane , Curcumin , Honey , Rutin , Phloretin",,"Rose Hip Oil , Hydrolyzed Tremella Fuciformis Sporocarp Extract , Acetyl Hydroxyproline , Ceramide , Camellia Sinensis Seed Oil , Aphanizomenon Flos-Aquae Extract",,,"Tribehenin , cholesterol , ceramide",,,,,"Honey , Isopentyldiol  , Niacinamide"
165,35-44,Combination,Olive,Acne,Male,Black,Tropical,Adansonia Digitata Pulp Extract,"Raspberry Seed Oil , Camellia Sinensis Seed Oil , Rose Hip Oil","Centella Asiatica Extract , Honey , Hydrolyzed Collagen",,,"Phloretin , Quercetin , Xanthophyll , Threonine , Squalane , Coumarin",,"Tocopheryl Succinate Aminopropanediol Esters , Camellia Sinensis Seed Oil , Acetyl Hydroxyproline , Squalane , Triticum Vulgare Germ Oil , Rose Hip Oil",,"Grape seed Oil , Ananas Sativus Fruit Extract , Ceramide",,,"Hydroxyacetophenone , Phenylalanine , Honey",,,
166,35-44,Combination,Olive,Acne,Male,Black,Dry,Adansonia Digitata Pulp Extract,"Raspberry Seed Oil , Grape seed Oil , Triticum Vulgare Germ Oil","Hydrolyzed Collagen , Soy Amino Acids , Hyaluronic Acid",,,"Beta-Glucan , Tetrahydrodiferuloylmethane , Trimethylsiloxysilicate , Threonine , Phenylalanine , Trilaurin",,"Hyaluronic Acid , Alpha-Glucan , Triticum Vulgare Germ Oil , Honey , Tocopheryl Succinate Aminopropanediol Esters , Rose Hip Oil",,"Acetyl Hydroxyproline , Hydrolyzed Tremella Fuciformis Sporocarp Extract , Squalane",,"Beta-Glucan , Ceramide , Grape seed Oil",,,,
167,35-44,Combination,Olive,Acne,Male,Black,Temperate,Adansonia Digitata Pulp Extract,"Raspberry Seed Oil , Camellia Sinensis Seed Oil , Grape seed Oil","Hydrolyzed Collagen , Jojoba Esters , Aloe Barbadensis Leaf Extract",,,"Resveratrol , Ubiquinone , Retinol , Alanine , Kaolin , Curcumin",,"Hyaluronic Acid , Ceramide , Tocopheryl Succinate Aminopropanediol Esters , Hydrolyzed Tremella Fuciformis Sporocarp Extract , Camellia Sinensis Seed Oil , Rose Hip Oil",,"Grape seed Oil , Ceramide , Camellia Sinensis Seed Oil",,,,"Hydroxyacetophenone , Trehalose , Valine",,
168,35-44,Combination,Olive,Acne,Male,Black,Continental,Adansonia Digitata Pulp Extract,"Triticum Vulgare Germ Oil , Camellia Sinensis Seed Oil , Raspberry Seed Oil","Aloe Barbadensis Leaf Extract , Adansonia Digitata Pulp Extract , Aphanizomenon Flos-Aquae Extract",,,"Curcumin , Honey , Bakuchiol , Xanthophyll , Glabridin , Azulene",,"Grape seed Oil , Honey , Aphanizomenon Flos-Aquae Extract , Algae Extract , Squalane , Camellia Sinensis Seed Oil",,"Ananas Sativus Fruit Extract , Triticum Vulgare Germ Oil , Camellia Sinensis Seed Oil",,,,,"Tribehenin , Phenylalanine , Serine",
169,35-44,Combination,Olive,Acne,Male,Black,Polar,Adansonia Digitata Pulp Extract,"Camellia Sinensis Seed Oil , Rose Hip Oil , Grape seed Oil","Honey , Aloe Barbadensis Leaf Extract , Alteromonas Ferment Filtrate",,,"Glabridin , Madecassoside , Coumarin , Zinc , Ergothioneine , Phloretin",,"Camellia Sinensis Seed Oil , Honey , Grape seed Oil , Alpha-Glucan , Ceramide , Tocopheryl Succinate Aminopropanediol Esters",,"Algae Extract , Squalane , Triticum Vulgare Germ Oil",,,,,,"Niacinamide , Glycosaminoglycans , Honey"
170,35-44,Combination,Olive,Acne,Female,White,Tropical,Adansonia Digitata Pulp Extract,"Triticum Vulgare Germ Oil , Raspberry Seed Oil , Camellia Sinensis Seed Oil","Adansonia Digitata Pulp Extract , Aloe Barbadensis Leaf Extract , Hydrolyzed Collagen",,"borago officinalis seed oil , lactobacillus ferment lysate filtrate , equisetum arvense extract , tetrahydrodemethoxydiferuloylmethane , valeriana officinalis rhizome/root extract , opuntia ficus-indica fruit extract",,,"Acetyl Hydroxyproline , Algae Extract , Camellia Sinensis Seed Oil , Hyaluronic Acid , Aphanizomenon Flos-Aquae Extract , Honey",,,"acetyl glucosamine , Tribehenin , Kaolin",,"Honey , Thiotaurine , Niacinamide",,,
171,35-44,Combination,Olive,Acne,Female,White,Dry,Adansonia Digitata Pulp Extract,"Camellia Sinensis Seed Oil , Raspberry Seed Oil , Grape seed Oil","Colloidal Oatmeal , Soy Amino Acids , Ananas Sativus Fruit Extract",,"curcuma longa root extract , linoleic acid , humulus lupulus extract , rosmarinus officinalis leaf extract , acetyl dipeptide-1 cetyl ester , ruscus aculeatus root extract",,,"Ananas Sativus Fruit Extract , Hydrolyzed Tremella Fuciformis Sporocarp Extract , Grape seed Oil , Squalane , Triticum Vulgare Germ Oil , Hyaluronic Acid",,,"Octyldodecanol , helianthus annuus seed oil unsaponifiables , hydroxypalmitoyl sphinganine","Triticum Vulgare Germ Oil , Sodium PCA , Ceramide NG",,,,
172,35-44,Combination,Olive,Acne,Female,White,Temperate,Adansonia Digitata Pulp Extract,"Triticum Vulgare Germ Oil , Grape seed Oil , Camellia Sinensis Seed Oil","Alteromonas Ferment Filtrate , Honey , Aphanizomenon Flos-Aquae Extract",,"ruscus aculeatus root extract , stearyl glycyrrhetinate , jasminum officinale extract , ceramide , hydroxyphenyl propamidobenzoic acid , echinacea angustifolia leaf extract",,,"Grape seed Oil , Algae Extract , Alpha-Glucan , Ananas Sativus Fruit Extract , Rose Hip Oil , Acetyl Hydroxyproline",,,"sodium pca , squalane , sodium chondroitin sulfate",,,"Mannitol , Xylitylglucoside , Pantethine",,
173,35-44,Combination,Olive,Acne,Female,White,Continental,Adansonia Digitata Pulp Extract,"Camellia Sinensis Seed Oil , Grape seed Oil , Raspberry Seed Oil","Honey , Colloidal Oatmeal , Aphanizomenon Flos-Aquae Extract",,"aloe barbadensis leaf extract , nasturtium officinale flower/leaf extract , ruscus aculeatus root extract , melaleuca alternifolia leaf oil , bisabolol , orchis mascula flower extract",,,"Hyaluronic Acid , Squalane , Acetyl Hydroxyproline , Triticum Vulgare Germ Oil , Algae Extract , Ceramide",,,"urea , hydroxypropyl bispalmitamide mea , serine",,,,"Xylitylglucoside , Honey , Niacinamide",
174,35-44,Combination,Olive,Acne,Female,White,Polar,Adansonia Digitata Pulp Extract,"Camellia Sinensis Seed Oil , Raspberry Seed Oil , Rose Hip Oil","Honey , Hydrolyzed Collagen , Alteromonas Ferment Filtrate",,"beta-glucan , tetrahydrodiferuloylmethane , piperonyl glucose , betula alba bark/leaf extract , ananas sativus fruit extract , tetrasodium tetracarboxymethyl naringeninchalcone",,,"Triticum Vulgare Germ Oil , Algae Extract , Squalane , Camellia Sinensis Seed Oil , Ceramide , Hyaluronic Acid",,,"phospholipids , pca , proline",,,,,"Betaine , Fructose , Trilaurin"
